Word Frequency Analysis Report
==================================================
EPUB File: Harry Potter and the Order of the Phoenix Deluxe Illustrated Slipcase Edition (J. K. Rowling) (Z-Library).epub
Total words: 258,046
Unique words: 13,973

Category Summary:
--------------------
Other: 13,676 unique words
CET-4: 170 unique words
CET-6: 127 unique words

Top 50 Most Frequent Words:
------------------------------
Rank   Word                 Count      Category  
--------------------------------------------------
1      the                  12061      CET-4     
2      and                  6387       CET-4     
3      to                   6370       CET-4     
4      of                   5479       CET-4     
5      he                   5069       CET-4     
6      harry                4089       Other     
7      said                 3945       Other     
8      you                  3663       CET-4     
9      was                  3618       Other     
10     his                  3248       CET-4     
11     in                   3174       CET-4     
12     it                   3173       CET-4     
13     that                 2622       CET-4     
14     had                  2347       Other     
15     at                   2209       CET-4     
16     as                   1803       CET-4     
17     her                  1787       CET-4     
18     on                   1765       CET-4     
19     him                  1623       CET-4     
20     not                  1604       CET-4     
21     with                 1590       CET-4     
22     she                  1578       CET-4     
23     they                 1507       CET-4     
24     but                  1390       CET-4     
25     for                  1336       CET-4     
26     ron                  1306       Other     
27     hermione             1286       Other     
28     what                 1217       CET-4     
29     we                   1130       CET-4     
30     be                   1123       CET-4     
31     from                 1079       CET-4     
32     up                   1033       CET-4     
33     all                  1017       CET-4     
34     out                  1010       CET-4     
35     them                 998        CET-4     
36     were                 992        Other     
37     have                 958        CET-4     
38     so                   825        CET-4     
39     there                810        CET-4     
40     back                 795        CET-4     
41     been                 778        Other     
42     who                  775        CET-4     
43     this                 773        CET-4     
44     is                   702        CET-4     
45     an                   697        CET-4     
46     into                 690        CET-4     
47     now                  677        CET-4     
48     if                   649        CET-4     
49     just                 646        CET-4     
50     could                639        CET-4     

==================================================
Complete Word List (Alphabetical):
==================================================
03                        1        times  [Other]
04                        1        times  [Other]
05                        1        times  [Other]
06                        1        times  [Other]
07                        1        times  [Other]
10                        2        times  [Other]
100                       1        times  [Other]
10012                     1        times  [Other]
101                       1        times  [Other]
102                       1        times  [Other]
103                       1        times  [Other]
104                       1        times  [Other]
105                       1        times  [Other]
106                       1        times  [Other]
107                       1        times  [Other]
108                       1        times  [Other]
109                       1        times  [Other]
11                        2        times  [Other]
110                       1        times  [Other]
111                       1        times  [Other]
112                       1        times  [Other]
113                       1        times  [Other]
114                       1        times  [Other]
115                       1        times  [Other]
116                       1        times  [Other]
117                       1        times  [Other]
